iso_id,iso_number,iso_name,iso_notes,unicode_name,unicode_version,unicode_historic,unicode_notes
"Adlm","166","Adlam",,"Adlam","9.0",false,
"Afak","439","Afaka","Not in Unicode, proposal is explored",,,,
"Aghb","239","Caucasian Albanian",,"Caucasian Albanian","7.0",true,"Ancient/historic"
"Ahom","338","Ahom, Tai Ahom",,"Ahom","8.0",true,"Ancient/historic"
"Arab","160","Arabic",,"Arabic","1.0",false,
"Aran","161","Arabic (Nastaliq variant)","Typographic variant of Arabic (see § Arab)",,,,
"Armi","124","Imperial Aramaic",,"Imperial Aramaic","5.2",true,"Ancient/historic"
"Armn","230","Armenian",,"Armenian","1.0",false,
"Avst","134","Avestan",,"Avestan","5.2",true,"Ancient/historic"
"Bali","360","Balinese",,"Balinese","5.0",false,
"Bamu","435","Bamum",,"Bamum","5.2",false,
"Bass","259","Bassa Vah",,"Bassa Vah","7.0",true,"Ancient/historic"
"Batk","365","Batak",,"Batak","6.0",false,
"Beng","325","Bengali (Bangla)",,"Bengali","1.0",false,
"Bhks","334","Bhaiksuki",,"Bhaiksuki","9.0",true,"Ancient/historic"
"Blis","550","Blissymbols","Not in Unicode, proposal is explored",,,,
"Bopo","285","Bopomofo",,"Bopomofo","1.0",false,
"Brah","300","Brahmi",,"Brahmi","6.0",true,"Ancient/historic"
"Brai","570","Braille",,"Braille","3.0",false,
"Bugi","367","Buginese",,"Buginese","4.1",false,
"Buhd","372","Buhid",,"Buhid","3.2",false,
"Cakm","349","Chakma",,"Chakma","6.1",false,
"Cans","440","Unified Canadian Aboriginal Syllabics",,"Canadian Aboriginal","3.0",false,
"Cari","201","Carian",,"Carian","5.1",true,"Ancient/historic"
"Cham","358","Cham",,"Cham","5.1",false,
"Cher","445","Cherokee",,"Cherokee","3.0",false,
"Chrs","109","Chorasmian",,"Chorasmian","13.0",true,"Ancient/historic"
"Cirt","291","Cirth","Not in Unicode",,,,
"Copt","204","Coptic",,"Coptic","1.0",true,"Ancient/historic, disunified from Greek in 4.1"
"Cpmn","402","Cypro-Minoan",,"Cypro Minoan","14.0",true,"Ancient/historic"
"Cprt","403","Cypriot syllabary",,"Cypriot","4.0",true,"Ancient/historic"
"Cyrl","220","Cyrillic",,"Cyrillic","1.0",false,"Includes typographic variant Old Church Slavonic (see § Cyrs)"
"Cyrs","221","Cyrillic (Old Church Slavonic variant)","Typographic variant of Cyrillic (see § Cyrl); Ancient/historic",,,,
"Deva","315","Devanagari (Nagari)",,"Devanagari","1.0",false,
"Diak","342","Dives Akuru",,"Dives Akuru","13.0",true,"Ancient/historic"
"Dogr","328","Dogra",,"Dogra","11.0",true,"Ancient/historic"
"Dsrt","250","Deseret (Mormon)",,"Deseret","3.1",false,
"Dupl","755","Duployan shorthand, Duployan stenography",,"Duployan","7.0",false,
"Egyd","070","Egyptian demotic","Not in Unicode",,,,
"Egyh","060","Egyptian hieratic","Not in Unicode",,,,
"Egyp","050","Egyptian hieroglyphs",,"Egyptian Hieroglyphs","5.2",true,"Ancient/historic"
"Elba","226","Elbasan",,"Elbasan","7.0",true,"Ancient/historic"
"Elym","128","Elymaic",,"Elymaic","12.0",true,"Ancient/historic"
"Ethi","430","Ethiopic (Geʻez)",,"Ethiopic","3.0",false,
"Geok","241","Khutsuri (Asomtavruli and Nuskhuri)",,"Georgian","",false,"Unicode groups Khutsori, Asomtavruli and Nuskhuri into 'Georgian' (see § Geok). Similarly, Mkhedruli and Mtavruli are 'Georgian' (see § Geor)"
"Geor","240","Georgian (Mkhedruli and Mtavruli)",,"Georgian","1.0",false,"In Unicode this also includes Nuskhuri (Geok)"
"Glag","225","Glagolitic",,"Glagolitic","4.1",true,"Ancient/historic"
"Gong","312","Gunjala Gondi",,"Gunjala Gondi","11.0",false,
"Gonm","313","Masaram Gondi",,"Masaram Gondi","10.0",false,
"Goth","206","Gothic",,"Gothic","3.1",true,"Ancient/historic"
"Gran","343","Grantha",,"Grantha","7.0",true,"Ancient/historic"
"Grek","200","Greek",,"Greek","1.0",false,"Directionality sometimes as boustrophedon"
"Gujr","320","Gujarati",,"Gujarati","1.0",false,
"Guru","310","Gurmukhi",,"Gurmukhi","1.0",false,
"Hanb","503","Han with Bopomofo (alias for Han + Bopomofo)","See § Hani, § Bopo",,,,
"Hang","286","Hangul (Hangŭl, Hangeul)",,"Hangul","1.0",false,"Hangul syllables relocated in 2.0"
"Hani","500","Han (Hanzi, Kanji, Hanja)",,"Han","1.0",false,
"Hano","371","Hanunoo (Hanunóo)",,"Hanunoo","3.2",false,
"Hans","501","Han (Simplified variant)","Subset of Han (Hanzi, Kanji, Hanja) (see § Hani)",,,,
"Hant","502","Han (Traditional variant)","Subset of § Hani",,,,
"Hatr","127","Hatran",,"Hatran","8.0",true,"Ancient/historic"
